symbol,price,price_change,price_percent_change
ICCT,4.89,2.65,118.30
CSAI,9.56,5.12,115.23
GATE,36.05,16.44,83.83
NMAX,145.76,62.25,74.54
NUTX,70.92,23.89,50.81
QSG,5.88,1.86,46.27
LSE,6.36,1.88,41.96
LXEH,26.22,6.86,35.39
NXU,3.44,0.77,28.84
WTF,4.86,0.86,21.50
LGPS,3.52,0.56,18.92
CLIK,3.20,0.50,18.52
CRWV,43.93,6.85,18.47
PVH,75.82,11.18,17.29
HSAI,17.28,2.48,16.76
VTSI,4.69,0.62,15.23
CRVO,10.37,1.22,13.33
EHLD,5.41,0.63,13.24
BNGO,3.15,0.36,12.90
NOTV,2.49,0.28,12.67
HUBC,3.22,0.35,12.28
ALMS,6.85,0.71,11.50
RUN,6.50,0.65,11.01
OKLO,24.01,2.38,11.00
CAPS,2.67,0.26,10.79
BLND,3.71,0.36,10.74
IONQ,24.32,2.25,10.17
PRGS,56.74,5.23,10.15
CORZ,7.97,0.73,10.10
ASPI,5.16,0.47,10.02
LGHL,3.58,0.32,9.82
BZAI,2.22,0.20,9.65
APLD,6.15,0.53,9.43
FWRG,18.20,1.54,9.28
CLSK,7.34,0.62,9.19
IREN,6.63,0.54,8.91
SURG,2.25,0.18,8.70
ALTS,4.22,0.34,8.66
LFVN,15.81,1.23,8.44
APLS,23.70,1.83,8.37
BKKT,9.39,0.72,8.30
HUT,12.56,0.94,8.09
RIVN,13.46,1.01,8.15
LUD,3.90,0.29,8.03
LCID,2.61,0.19,7.86
ENGS,4.85,0.35,7.83
CLPT,12.82,0.93,7.79
China,16.20,1.16,7.71
STIM,3.96,0.28,7.61
PRTH,7.32,0.51,7.41
CYD,18.24,1.25,7.36
NBIS,22.64,1.53,7.25
QNTM,8.26,0.55,7.13
ZYXI,2.36,0.15,7.05
JVA,3.80,0.25,7.05
BLMN,7.67,0.50,6.97
OB,3.99,0.26,6.97
TSLA,277.19,18.03,6.96
FSI,5.40,0.35,6.93
LAES,2.78,0.18,6.92
SKBL,11.14,0.71,6.86
TCMD,14.12,0.90,6.81
SHCO,6.60,0.41,6.72
SLQT,3.56,0.22,6.59
BTBT,2.15,0.13,6.44
BE,20.92,1.26,6.41
HRTG,15.34,0.92,6.35
AEHR,7.75,0.46,6.31
RDDT,111.44,6.54,6.24
MQ,4.38,0.26,6.19
NEON,8.64,0.50,6.14
RDW,8.80,0.51,6.12
RKT,12.80,0.73,6.05
RDFN,9.76,0.56,6.03
USAR,6.30,0.36,5.98
CBRL,41.12,2.31,5.94
REAL,5.71,0.32,5.94
DJT,20.69,1.15,5.89
CIFR,2.44,0.14,5.87
WULF,2.89,0.16,5.86
TALK,2.71,0.15,5.86
MNDY,257.15,13.99,5.75
BIYA,7.01,0.38,5.73
BORR,2.32,0.13,5.71
BTMD,3.52,0.19,5.71
MSTR,304.62,16.36,5.67
ZIM,15.42,0.83,5.67
DHC,2.54,0.14,5.63
BHR,2.63,0.14,5.62
SRAD,22.81,1.19,5.50
LEU,65.59,3.38,5.43
LEVI,16.43,0.84,5.39
MAXN,3.11,0.16,5.37
LZMH,7.28,0.37,5.36
TREE,52.95,2.68,5.33
XELB,2.97,0.15,5.32
TVTX,18.86,0.94,5.27
SNBR,6.67,0.33,5.21
RIG,3.34,0.17,5.21
LLYVA,70.74,3.50,5.20
